id,title,filename,quality,chars,industry_tags,style_tags,interaction_tags,stack_tags,layout_tags,asset_tags,file
001,复制出来的提示词,001-复制出来的提示词.md,usable_spec,4392,,clean_white|cosmic_space|cyber_futuristic|dark_cinematic|editorial_art|gradient_glow|liquid_glass|luxury_minimal,canvas_frame|hover_microinteraction|video_background,lucide_react|react|tailwind_css|typescript|vite,full_viewport|hero_only|multi_section|navbar|single_page,cloudfront_video|external_media|google_fonts,kb/prompts/001-复制出来的提示词.md
002,3D Portfolio,002-3D Portfolio.md,usable_spec,11890,agency_studio|portfolio_creator,bold_typography|cosmic_space|dark_cinematic|editorial_art|gradient_glow|luxury_minimal,css_3d|cursor_follow|framer_motion|hover_microinteraction|marquee|scroll_parallax|video_background,framer_motion|lucide_react|react|tailwind_css|typescript,full_viewport|hero_only|multi_section|navbar|single_page,cloudfront_video|external_media|google_fonts,kb/prompts/002-3D Portfolio.md
003,Prisma Creative Studio,003-Prisma Creative Studio.md,usable_spec,8583,agency_studio,clean_white|dark_cinematic|editorial_art|gradient_glow|luxury_minimal,canvas_frame|framer_motion|hover_microinteraction|scroll_parallax|video_background,custom_css|framer_motion|lucide_react|react|tailwind_css|typescript|vite,card_shell|cta_waitlist|full_viewport|hero_only|multi_section|navbar|single_page,cloudfront_video|external_media|google_fonts,kb/prompts/003-Prisma Creative Studio.md
004,单屏-Portal,004-单屏-Portal.md,usable_spec,5848,cybersecurity_security,dark_cinematic|editorial_art|liquid_glass|luxury_minimal,framer_motion|hamburger_menu|hover_microinteraction|video_background,framer_motion|lucide_react|react|tailwind_css|typescript|vite,cta_waitlist|hero_only|navbar|single_page,cloudfront_video|external_media|google_fonts|online_webfonts,kb/prompts/004-单屏-Portal.md
005,Art Landing,005-Art Landing.md,usable_spec,5980,art_museum_culture,clean_white|dark_cinematic|editorial_art|liquid_glass|luxury_minimal|organic_nature,cursor_follow|framer_motion|hover_microinteraction|scroll_parallax|video_background,framer_motion|lucide_react|react|react_19|tailwind_css|tailwind_v4|typescript|vite,cta_waitlist|full_viewport|hero_only|multi_section|single_page,cloudinary_asset|external_media|google_fonts,kb/prompts/005-Art Landing.md
006,Pulse 3D,006-Pulse 3D.md,high_detail_spec,20953,,dark_cinematic|editorial_art|gradient_glow|luxury_minimal|split_panel,canvas_frame|contact_form|css_3d|cursor_follow|gsap|hover_microinteraction|loader_animation|marquee|scroll_parallax|video_background,lucide_react|react|react_19|tailwind_css|tailwind_v4|typescript|vite,full_viewport|hero_only|multi_section|navbar|single_page,cloudinary_asset|external_media|google_fonts,kb/prompts/006-Pulse 3D.md
007,Velorah,007-Velorah.md,stub_or_empty,9,,,,,,,kb/prompts/007-Velorah.md
008,Luxury Real Estate,008-Luxury Real Estate.md,high_detail_spec,13536,ai_saas|art_museum_culture|real_estate_architecture,dark_cinematic|editorial_art|gradient_glow|luxury_minimal|organic_nature,canvas_frame|cursor_follow|hamburger_menu|hover_microinteraction|loader_animation|marquee|scroll_parallax|video_background,intersection_observer|lucide_react|react|tailwind_css|typescript|vite,full_viewport|hero_only|multi_section|navbar|single_page,cloudfront_video|cloudinary_asset|external_media|google_fonts,kb/prompts/008-Luxury Real Estate.md
009,Reveal Hero,009-Reveal Hero.md,stub_or_empty,13,,,,,hero_only,,kb/prompts/009-Reveal Hero.md
010,Mythic Naturecore,010-Mythic Naturecore.md,usable_spec,8125,agriculture_nature,dark_cinematic|editorial_art|luxury_minimal,canvas_frame|css_3d|cursor_follow|scroll_parallax,custom_css|react|tailwind_css|typescript,card_shell|carousel|full_viewport|hero_only|navbar|single_page,cloudinary_asset|external_media|google_fonts,kb/prompts/010-Mythic Naturecore.md
011,Web3 EOS Hero,011-Web3 EOS Hero.md,stub_or_empty,15,web3_nft,,,,hero_only,,kb/prompts/011-Web3 EOS Hero.md
012,3D Collectible Hero,012-3D Collectible Hero.md,usable_spec,5379,ecommerce_luxury|web3_nft,editorial_art|liquid_glass|luxury_minimal,css_3d|hover_microinteraction,lucide_react|react|tailwind_css|typescript|vite,carousel|full_viewport|hero_only,external_media|google_fonts,kb/prompts/012-3D Collectible Hero.md
013,Dreamcore Landing,013-Dreamcore Landing.md,high_detail_spec,13733,ai_saas,dark_cinematic|editorial_art|luxury_minimal|organic_nature,canvas_frame|cursor_follow|scroll_parallax|video_background,lucide_react|react|tailwind_css|typescript|vite,card_shell|carousel|full_viewport|hero_only|navbar|single_page,cloudfront_video|cloudinary_asset|external_media|google_fonts,kb/prompts/013-Dreamcore Landing.md
014,Growth Marketing SaaS,014-Growth Marketing SaaS.md,high_detail_spec,15154,,clean_white|dark_cinematic|editorial_art|gradient_glow|liquid_glass|luxury_minimal|organic_nature,framer_motion|hover_microinteraction|scroll_parallax|video_background,lucide_react|react|shadcn_ui|tailwind_css|typescript|vite,cta_waitlist|dashboard_mockup|full_viewport|hero_only|multi_section|navbar|single_page,cloudfront_video|external_media|google_fonts,kb/prompts/014-Growth Marketing SaaS.md
015,CoderCrest,015-CoderCrest.md,usable_spec,3885,ai_saas,bold_typography|dark_cinematic|editorial_art|gradient_glow|luxury_minimal|organic_nature,cursor_follow|hover_microinteraction|video_background,hls_js|react|tailwind_css|typescript,cta_waitlist|full_viewport|hero_only,cloudfront_video|external_media|mux_video,kb/prompts/015-CoderCrest.md
016,Aethera Studio,016-Aethera Studio.md,usable_spec,3257,agency_studio,bold_typography|cyber_futuristic|dark_cinematic|editorial_art|gradient_glow|luxury_minimal,hover_microinteraction|video_background,react|tailwind_css|typescript|vite,cta_waitlist|full_viewport|hero_only|multi_section|navbar|single_page,cloudfront_video|external_media,kb/prompts/016-Aethera Studio.md
017,VEX Ventures,017-VEX Ventures.md,usable_spec,5157,finance_fintech,clean_white|cosmic_space|dark_cinematic|editorial_art|gradient_glow|liquid_glass|luxury_minimal,hover_microinteraction|video_background,lucide_react|react|tailwind_css|typescript|vite,card_shell|full_viewport|hero_only|navbar,cloudfront_video|external_media|google_fonts,kb/prompts/017-VEX Ventures.md
018,Layered Depth,018-Layered Depth.md,high_detail_spec,12286,agency_studio|real_estate_architecture,dark_cinematic|editorial_art|liquid_glass|luxury_minimal,hamburger_menu|scroll_parallax|video_background,custom_css|lucide_react|react|tailwind_css|typescript|vite,card_shell|cta_waitlist|full_viewport|hero_only|multi_section|navbar|single_page,cloudinary_asset|external_media|online_webfonts,kb/prompts/018-Layered Depth.md
